from,to,is_immune
myeloid dendritic cell,cdc,TRUE
"myeloid dendritic cell, human",cdc,TRUE
myeloid lineage restricted progenitor cell,progenitor,TRUE
naive B cell,b naive,TRUE
naive regulatory T cell,treg,TRUE
naive T cell,t,TRUE
"naive thymus-derived CD4-positive, alpha-beta T cell",cd4 naive,TRUE
"naive thymus-derived CD8-positive, alpha-beta T cell",cd8 naive,TRUE
natural killer cell,nk,TRUE
natural T-regulatory cell,treg,TRUE
neutrophil,granulocyte,TRUE
neutrophil progenitor cell,progenitor,TRUE
"NKp44-negative group 3 innate lymphoid cell, human",ilc,TRUE
"NKp44-positive group 3 innate lymphoid cell, human",ilc,TRUE
non-classical monocyte,monocytic,TRUE
plasma cell,plasma,TRUE
plasmablast,plasma,TRUE
plasmacytoid dendritic cell,pdc,TRUE
"plasmacytoid dendritic cell, human",pdc,TRUE
pre-B-I cell,b,TRUE
pre-conventional dendritic cell,cdc,TRUE
pre-natural killer cell,nk,TRUE
precursor B cell,b,TRUE
primitive red blood cell,erythrocyte,TRUE
pro-B cell,b,TRUE
pro-T cell,t,TRUE
proerythroblast,erythrocyte,TRUE
promonocyte,monocytic,TRUE
regulatory T cell,treg,TRUE
small pre-B-II cell,b,TRUE
T cell,t,TRUE
T follicular helper cell,cd4 fh em,TRUE
T follicular regulatory cell,treg,TRUE
T-helper 1 cell,cd4 th1 em,TRUE
T-helper 17 cell,cd4 th17 em,TRUE
T-helper 2 cell,cd4 th2 em,TRUE
T-helper 22 cell,t cd4,TRUE
Tc1 cell,t cd8,TRUE
thymocyte,t,TRUE
tonsil germinal center B cell,b,TRUE
transitional stage B cell,b,TRUE
type I NK T cell,nkt,TRUE
unswitched memory B cell,b,TRUE
stromal cell,stromal,FALSE
oligodendrocyte precursor cell,glial,FALSE
mucous neck cell,secretory,FALSE
nasal mucosa goblet cell,secretory,FALSE
ionocyte,secretory,FALSE
parietal epithelial cell,epithelial,FALSE
transit amplifying cell,progenitor,FALSE
platelet,immune,FALSE
capillary endothelial cell,endothelial,FALSE
fibroblast of lung,stromal,FALSE
smooth muscle cell of the pulmonary artery,muscle,FALSE
chondrocyte,cartilage,FALSE
abnormal cell,other,FALSE
paneth cell,secretory,FALSE
PP cell,endocrine,FALSE
endothelial cell of pericentral hepatic sinusoid,endothelial,FALSE
GABAergic neuron,neuron,FALSE
squamous epithelial cell,epithelial,FALSE
embryonic fibroblast,stromal,FALSE
mesenchymal cell,stromal,FALSE
kidney cell,renal,FALSE
kidney loop of Henle epithelial cell,epithelial,FALSE
retinal bipolar neuron,neuron,FALSE
epithelial cell of nephron,epithelial,FALSE
type D enteroendocrine cell,endocrine,FALSE
motor neuron,neuron,FALSE
migratory enteric neural crest cell,neuron,FALSE
skeletal muscle satellite stem cell,muscle,FALSE
subcutaneous adipocyte,fat,FALSE
epicardial adipocyte,fat,FALSE
diffuse bipolar 1 cell,neuron,FALSE
invaginating midget bipolar cell,neuron,FALSE
cardiac muscle myoblast,muscle,FALSE
preosteoblast,progenitor,FALSE
serous secreting cell,epithelial,FALSE
cortical thymic epithelial cell,epithelial,FALSE
OFF-bipolar cell,neuron,FALSE
colon epithelial cell,epithelial,FALSE
transit amplifying cell of colon,progenitor,FALSE
acinar cell of salivary gland,secretory,FALSE
