from,to,is_immune
L5/6 near-projecting glutamatergic neuron of the primary motor cortex,neuron,FALSE
Langerhans cell,immune,FALSE
surface ectodermal cell,epithelial,FALSE
serous cell of epithelium of trachea,epithelial,FALSE
epithelial cell of lacrimal sac,epithelial,FALSE
intraepithelial lymphocyte,progenitor,FALSE
pneumocyte,pneumocyte,FALSE
non-terminally differentiated cell,progenitor,FALSE
mononuclear cell,immune,FALSE
peripheral blood mononuclear cell,immune,FALSE
exhausted T cell,t,TRUE
endothelial cell of venule,endothelial,FALSE
